226	0	5	11	6	10	8	13	2
229	114	30	18	25	34	73	307	158
230	1647	625	954	556	450	1226	872	1294
217	31	95	11	56	26	20	67	53
219	128	180	284	83	151	324	412	226
223	83	53	145	35	125	184	147	100
224	1991	850	970	1027	892	2179	4457	1379
501	6	35	0	29	89	0	5	271
218	8597	6796	7908	3319	8889	12784	15478	11215
220	10	14	14	18	20	63	39	39
221	671	296	709	403	535	1038	636	770
222	110	138	199	62	283	235	231	163
10327	2929	2783	3835	5320	2758	6906	5694	6008
124	85	68	56	146	445	404	808	360
125	913	167	409	151	829	1068	94	248
126	705	646	487	731	1070	1117	802	1484
127	7	0	11	3	33	57	14	39
128	9	7	4	4	9	14	17	10
130	4109	976	2962	5228	5979	7268	12574	6174
131	8791	10368	6026	13377	11434	17459	16604	8410
5160	743	559	606	912	1445	658	1597	1426
5161	736	506	1003	785	870	2738	1996	2179
5162	200	261	166	245	443	364	452	258
1737	159	201	303	386	501	1343	361	366
160287	94	178	166	227	122	148	234	71
3939	174	104	170	120	169	213	190	150
3945	10	34	44	60	129	153	117	210
3948	261	153	198	149	91	350	270	186
92483	7211	2245	5056	3377	8848	13318	16295	11995
5313	3640	2894	3992	3541	5852	19238	14614	12964
5315	269	417	1421	630	1143	1196	1702	1549
2023	207	224	272	169	161	604	475	393
2026	6165	7630	7163	7165	15955	22632	17106	17269
2027	1996	1136	1838	2091	2956	2737	2439	3004
441531	863	781	852	728	1694	2478	2923	2243
5223	3	3	5	10	6	57	31	20
5224	144	32	119	28	37	58	17	66
669	6091	5942	8043	3148	10296	20740	35583	16347
2597	61	21	16	61	13	75	11	46
26330	31	31	44	20	36	110	84	159
7167	41	28	25	38	89	51	70	32
5211	6703	3465	8718	2617	7309	4130	12113	7279
5213	1052	1543	2538	1104	4679	4491	5113	3047
5214	264	423	517	237	828	1088	596	914
2203	7	10	18	9	37	30	31	34
8789	2876	1627	1676	1918	5991	8687	7315	5238
2821	1260	807	1253	1084	2052	3831	2771	2706
5236	3672	2310	3563	2694	9751	9278	11307	9103
55276	198	407	279	157	651	2148	896	686
3098	116	1255	592	207	423	7189	285	2165
3099	150	81	129	12	85	109	56	112
3101	9	59	26	59	5	50	68	62
80201	26	6	12	5	14	30	100	22
2645	15689	8074	8927	10558	7569	18396	4905	9898
130589	1021	519	559	635	1038	1019	1180	888
2538	244	56	116	62	203	480	536	400
57818	861	691	4245	1265	2108	4763	1222	2341
92579	153	33	268	47	88	48	182	102
1738	76	58	72	19	55	123	75	107
5230	64	34	44	21	111	66	150	155
5232	7434	5486	6716	5064	11112	25882	24673	18015
5105	1165	1214	2828	1919	1890	4733	4150	3380
5106	1226	1135	1699	1188	1688	3171	2303	2503
55902	9236	6396	10781	6599	13043	14735	16332	13208
84532	3501	2192	3899	2718	3399	5147	4273	4039
83440	352	214	344	220	688	1470	1128	1335
9562	172	111	294	210	225	458	415	283
4967	349	241	200	237	329	511	583	665
55753	5486	3013	7669	4127	4164	6608	8672	6056
1743	12355	6875	13160	13369	12196	21548	21170	17284
8801	2244	1315	1957	1993	1097	3353	1843	2613
8802	127	98	129	27	210	416	330	147
8803	200	103	250	178	317	307	434	333
3417	50	25	36	36	41	105	63	88
3418	9549	9216	12243	11064	14071	34793	29987	32342
3419	1032	376	1174	694	1261	3050	1720	1006
3420	0	2	1	6	1	1	1	0
3421	2571	802	631	1592	1898	4878	1277	4799
47	201	115	55	80	59	9	23	28
2271	797	42	226	118	95	130	427	192
48	2405	2587	3341	2202	5623	8545	5282	4036
50	731	1023	1435	404	1190	908	395	2103
1431	37	28	40	12	52	57	78	29
4190	3218	2281	2432	2021	4629	6854	7693	5620
4191	569	369	190	443	1557	2874	1411	774
5091	131	109	161	208	212	326	441	307
6389	974	1003	864	1278	2044	3968	5725	3119
6390	16	19	18	9	28	46	17	38
6391	17	1	14	0	0	7	32	8
6392	1376	772	305	244	2136	2617	4126	2367
64080	350	28	12	197	2482	748	3467	266
51071	274	270	638	191	535	891	632	406
221823	3571	3721	3579	3669	14967	21452	16543	18591
5631	210	216	221	127	198	439	390	435
5634	47784	28265	24194	18670	22916	41659	29675	32035
7086	247	290	210	148	203	324	436	361
8277	46	77	79	67	64	68	92	129
84076	13	4	19	12	30	31	12	15
22934	226	326	272	265	826	940	2070	1744
6120	420	366	908	740	1211	1847	1150	212
729020	176	97	203	106	81	207	193	125
5226	10	0	0	0	0	0	0	0
25796	880	491	513	650	1110	1699	986	1333
2539	2061	1025	1151	1015	1365	2499	2123	2279
414328	1	10	80	11	81	6	78	0
9104	314	436	669	336	1019	1227	1372	1134
6888	0	0	0	2	25	1	2	47
9563	1192	1681	121	4919	5154	1049	1127	199
2990	188	204	131	143	160	158	150	168
9365	23	32	80	45	65	95	212	92
9942	8	6	12	7	7	20	12	12
231	292	269	457	238	334	803	667	560
57016	43	77	72	40	75	194	93	142
51181	19	12	5	8	17	62	34	1
51084	312	94	282	84	551	919	735	660
7360	1086	467	839	230	1407	2345	2516	555
10720	8	9	22	3	8	3	12	19
10941	7062	4298	5608	4490	6043	8833	9243	8903
54490	5408	1626	5149	2342	3606	6825	7296	4443
54575	2181	277	2403	826	1198	456	7109	4990
54576	61	51	85	75	69	169	156	109
54577	154	144	193	111	39	61	155	125
54578	7584	4113	7289	6637	16556	33803	39382	32069
54579	2389	1677	2502	1502	1469	2720	3007	4035
54600	2753	2381	2933	2287	2180	3921	4105	3071
54657	350	306	301	329	624	2116	1124	1510
54658	1732	450	878	599	1616	2582	2660	3686
54659	0	1	6	2	2	24	0	32
574537	129	60	62	92	161	294	313	110
7363	5	39	59	484	112	848	90	1
7364	1	1	13	1	1	4	9	0
7365	307	41	181	136	191	254	588	447
7366	18	19	22	34	31	48	71	51
7367	37	84	270	61	4	0	5	189
79799	90	98	21	44	113	193	201	141
7358	10	18	24	4	45	96	165	72
27294	33	93	11	98	119	71	20	320
6652	9	75	190	12	70	51	308	82
3795	933	684	738	599	716	866	1229	658
5207	6965	6337	11456	3877	10267	8958	8622	14417
5208	3980	1658	2683	2929	11323	13291	12072	13060
5209	636	319	804	220	3029	1287	2774	58
5210	2977	1090	1922	530	2263	229	3866	1921
57103	69	61	43	45	81	72	111	71
4351	117	112	231	142	109	282	172	344
5372	1381	1002	1574	939	4550	5345	3493	4356
5373	4562	2479	2728	2268	2235	6069	5308	1743
8790	1842	474	1395	236	1749	1444	1450	373
7264	1887	1012	1511	1263	2258	3262	3593	1693
2762	4107	2991	6018	4819	9780	13419	12855	10151
29925	2157	1794	2652	1443	5798	5439	3738	4191
29926	1133	877	1169	795	2125	4871	8572	3536
197258	622	99	101	50	1214	476	320	499
55556	113	69	81	47	57	120	76	57
2717	1287	1756	1623	993	1938	2149	2535	1769
2548	1015	1099	1081	936	962	2840	1788	4594
2595	22	62	57	112	114	94	27	427
8972	1337	127	138	244	947	546	566	1064
3938	2353	3090	1273	2346	1868	3832	7729	5356
2720	590	328	534	558	531	834	611	911
2683	21	10	34	5	23	35	7	0
3906	38	31	25	30	90	219	97	115
8704	1000	987	477	451	2061	2941	2565	1869
2582	18	0	11	8	18	8	10	20
2592	3506	2674	3817	2077	2211	5385	3642	4627
6476	409	205	264	279	559	529	273	369
2584	571	468	543	91	48	250	427	441
55586	8	6	0	5	48	6	48	9
2194	477	140	643	444	727	983	392	195
55301	1	1	1	0	0	8	5	3
54995	2845	1797	2527	2193	2925	4162	2750	3820
27349	2082	2541	1967	1979	2368	8618	6429	7193
31	115	90	169	69	145	283	289	97
32	184	130	123	79	191	325	266	145
2180	56	11	6	6	38	85	56	16
2181	63	35	71	67	128	224	129	147
2182	100	95	57	85	144	163	221	154
23205	3328	1584	3959	4969	8824	16453	8743	9247
23305	22682	16472	9180	21858	10312	22288	20012	29808
51703	16	14	10	4	10	51	28	35
81616	89	52	25	73	17	4	78	346
5538	20	11	3	58	13	116	28	0
9374	1844	1491	1994	1216	2040	3488	3044	2685
51102	0	5	3	27	5	443	282	296
1892	148	112	204	48	218	267	152	182
3030	665	649	677	533	523	1019	720	885
10449	1024	409	427	51	69	1181	2858	1554
3032	3397	2045	2302	2476	2961	4276	2595	3330
3033	5240	3675	3820	5459	7508	11709	13342	9054
51144	132	3	58	55	70	124	237	91
9524	479	385	496	346	464	423	356	998
201562	37	12	27	8	69	27	1	5
